Date,Booking_status,level_3,level_4,level_5,level_6,JourneyDate,BookingStatus,TrainNo,ClassOfTravel,ChartingStatus
2016-12-02,W/L,0,0,"9,TQ	*12864",0,0,3A	B2,0.0,",",14.0
2016-12-01,W/L,0,0,"3,TQ	*12864	",3A	B2,0,",",0.0,8,0.0
2016-12-03,W/L,0,0,"1,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2016-12-03,W/L,0,"67,TQ	*12864	",SL	W/L,0,0,19,0.0,0,0.0
2016-12-03,W/L,0,"61,TQ	*12864	",SL	W/L,0,0,17,0.0,0,0.0
2016-12-03,W/L,0,"94,TQ	*12864	",SL	W/L,0,0,35,0.0,0,0.0
2016-12-05,W/L,0,"53,TQ	*12864	",SL	W/L,0,0,19,0.0,0,0.0
2016-12-05,W/L,0,"57,TQ	*12864	",SL	S2,0,",",57,0.0,0,0.0
2016-12-07,W/L,0,"56,TQ	*12864	",SL	W/L,0,0,12,0.0,0,0.0
2016-12-07,W/L,0,"96,TQ	*12864	",SL	W/L,0,0,28,0.0,0,0.0
2016-12-12,W/L,0,0,"5,TQ	*12864	",SL	W/L,0,0,0.0,3,0.0
2016-12-12,W/L,0,"64,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2016-12-13,W/L,0,"25,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-07,W/L,0,"10,TQ	*12864	",SL	S1,0,",",57,0.0,0,0.0
2017-01-08,W/L,0,"32,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-08,W/L,0,"11,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-09,W/L,0,0,"6,TQ	*12864	",SL	S11,",",27,0.0,0,0.0
2017-01-09,W/L,0,0,"5,TQ	*12864	",3A	B2,0,",",0.0,3,0.0
2017-01-09,W/L,0,"55,TQ	*12864	",SL	W/L,0,0,17,0.0,0,0.0
2017-01-09,W/L,"109,TQ	*12864	",SL	WL,0,0,0,0,0.0,0,0.0
2017-01-09,W/L,0,"36,TQ	*12864	",SL	W/L,0,0,17,0.0,0,0.0
2017-01-09,W/L,0,"21,TQ	*12864	",SL	W/L,0,0,10,0.0,0,0.0
2017-01-09,W/L,0,"43,TQ	*12864	",SL	W/L,0,0,23,0.0,0,0.0
2017-01-09,W/L,"100,TQ	*12864	",SL	W/L,0,0,47,0,0.0,0,0.0
2017-01-10,W/L,0,"15,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-01-10,W/L,0,"24,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-10,W/L,0,"25,TQ	*12864	",SL	W/L,0,0,0,6.0,0,0.0
2017-01-10,W/L,0,"70,TQ	*12864	",SL	W/L,0,0,30,0.0,0,0.0
2017-01-11,W/L,0,0,"5,TQ	*12864	",SL	W/L,0,0,0.0,2,0.0
2017-01-10,W/L,0,"98,TQ	*12864	",SL	W/L,0,0,42,0.0,0,0.0
2017-01-11,W/L,0,0,"1,TQ	*12864	",3A	W/L,0,0,0.0,1,0.0
2017-01-10,W/L,0,"18,TQ	*12864	",SL	W/L,0,0,0,4.0,0,0.0
2017-01-11,W/L,0,0,"2,TQ	*12864	",3A	W/L,0,0,0.0,2,0.0
2017-01-11,W/L,0,0,"3,TQ	*12864	",2A	W/L,0,0,0.0,3,0.0
2017-01-11,W/L,0,"34,TQ	*12864	",SL	S9,0,",",51,0.0,0,0.0
2017-01-11,W/L,"123,TQ	*12864	",SL	W/L,0,0,57,0,0.0,0,0.0
2017-01-11,W/L,0,"46,TQ	*12864	",SL	S7,0,",",28,0.0,0,0.0
2017-01-10,W/L,0,"13,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-11,W/L,0,"79,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-10,W/L,0,"11,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-01-10,W/L,0,0,"3,TQ	*12864	",2A	A1,0,",",11.0,0,0.0
2017-01-11,W/L,0,"93,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-11,W/L,0,"64,TQ	*12864	",SL	W/L,0,0,22,0.0,0,0.0
2017-01-11,W/L,0,"67,TQ	*12864	",SL	W/L,0,0,24,0.0,0,0.0
2017-01-11,W/L,0,0,"5,TQ	*12864	",SL	S7,0,",",25.0,0,0.0
2017-01-11,W/L,0,"59,TQ	*12864	",SL	W/L,0,0,18,0.0,0,0.0
2017-01-11,W/L,0,0,"8,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-01-12,W/L,0,0,"5,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2017-01-12,W/L,0,"38,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-11,W/L,0,"20,TQ	*12864	",SL	W/L,0,0,0,5.0,0,0.0
2017-01-12,W/L,0,"16,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-12,W/L,"116,TQ	*12864	",SL	WL,0,0,0,0,0.0,0,0.0
2017-01-12,W/L,0,"71,TQ	*12864	",SL	W/L,0,0,36,0.0,0,0.0
2017-01-12,W/L,0,"24,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-12,W/L,0,"36,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-01-12,W/L,0,"30,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-13,W/L,0,"21,TQ	*12864	",3A	W/L,0,0,0,7.0,0,0.0
